comp_name,tittle_job,tittle_url
Navigos Group,Senior Recruitment Consultant (Industrial Manufacturing)(MỚI),https://www.vietnamworks.com/senior-recruitment-consultant-industrial-manufacturing-1642026-jv/?source=searchResults&searchType=2&placement=1642027&sortBy=date
Công Ty TNHH Hyosung Financial System VINA,Nhân Viên Chất Lượng IQC ( Ưu Tiên Biết Tiếng Hàn)(MỚI),https://www.vietnamworks.com/nhan-vien-chat-luong-iqc-uu-tien-biet-tieng-han-1626245-jv/?source=searchResults&searchType=2&placement=1626246&sortBy=date
Công Ty Cổ Phần Dịch Vụ Và Địa Ốc Đất Xanh Miền Bắc,"Chuyên Viên Tư Vấn Bất Động Sản - Lương Cứng Lên Đến 10Tr, Hỗ Trợ Chi Phí Marketing Tới 100%(MỚI)",https://www.vietnamworks.com/chuyen-vien-tu-van-bat-dong-san-luong-cung-len-den-10tr-ho-tro-chi-phi-marketing-toi-100-1-1642769-jv/?source=searchResults&searchType=2&placement=1642770&sortBy=date
Ngân Hàng TNHH Indovina – Hội Sở,Banking Product Development Officer(MỚI),https://www.vietnamworks.com/banking-product-development-officer-1645745-jv/?source=searchResults&searchType=2&placement=1645746&sortBy=date
Pan Services Hà Nội,Giám Sát Dịch Vụ Vệ Sinh Tòa Nhà Làm Việc Tại Hà Nội(MỚI),https://www.vietnamworks.com/giam-sat-dich-vu-ve-sinh-toa-nha-lam-viec-tai-ha-noi-1-1642784-jv/?source=searchResults&searchType=2&placement=1642785&sortBy=date
Công Ty TNHH Hyosung Financial System VINA,Nhân Viên Kho Nguyên Vật Liệu(MỚI),https://www.vietnamworks.com/nhan-vien-kho-nguyen-vat-lieu-3-1641540-jv/?source=searchResults&searchType=2&placement=1641541&sortBy=date
Unigen Vietnam Hanoi Co.Ltd,Manufacturing Assistant Manager (Y/c Có Kinh Nghiệm SMT)(MỚI),https://www.vietnamworks.com/manufacturing-assistant-manager-y-c-co-kinh-nghiem-smt-1631858-jv/?source=searchResults&searchType=2&placement=1631859&sortBy=date
"Tek Experts Co., Ltd",IT Support Engineers - Microsoft Software(MỚI),https://www.vietnamworks.com/it-support-engineers-microsoft-software-1-1-1-1-1-1-1-1643367-jv/?source=searchResults&searchType=2&placement=1643368&sortBy=date
Westrock Packaging Solutions (M) Sdn Bhd,Packaging Designer - Paper Carton(MỚI),https://www.vietnamworks.com/packaging-designer-paper-carton-2-1645717-jv/?source=searchResults&searchType=2&placement=1645718&sortBy=date
Công Ty Cổ Phần Hệ Thống Công Nghệ ETC,Nhân Viên Kỹ Thuật Thiết Bị Khoa Học Nghiệp Vụ(MỚI),https://www.vietnamworks.com/nhan-vien-ky-thuat-thiet-bi-khoa-hoc-nghiep-vu-2-1-1-1-1-1626788-jv/?source=searchResults&searchType=2&placement=1626789&sortBy=date
Eurowindow Holding,Chuyên Viên Pháp Chế (Xây Dựng Bất Động Sản)(MỚI),https://www.vietnamworks.com/chuyen-vien-phap-che-xay-dung-bat-dong-san-3-1-1638889-jv/?source=searchResults&searchType=2&placement=1638890&sortBy=date
Mektec Manufacturing Corporation (Vietnam) Ltd.,"Kỹ Sư Máy ( Plc, C#, SQL Sever)(MỚI)",https://www.vietnamworks.com/ky-su-may-plc-c-sharp-sql-sever-1-1639920-jv/?source=searchResults&searchType=2&placement=1639921&sortBy=date
Dian VIETNAM Healthcare & Diagnostics Services,Quản Lý Phòng Xét Nghiệm - Tiếng Trung(MỚI),https://www.vietnamworks.com/quan-ly-phong-xet-nghiem-tieng-trung-1643045-jv/?source=searchResults&searchType=2&placement=1643046&sortBy=date
Chi Nhánh Hà Nội - Công Ty Cồ Phần Daikin Air Conditioning (VIETNAM),Kỹ Sư Tư Vấn & Hỗ Trợ Các Công Ty Nội Thất(MỚI),https://www.vietnamworks.com/ky-su-tu-van-ho-tro-cac-cong-ty-noi-that-1646672-jv/?source=searchResults&searchType=2&placement=1646673&sortBy=date
VietnamWorks' Client,"Manager, Research & Development (Working At Thailand)(MỚI)",https://www.vietnamworks.com/manager-research-development-working-at-thailand-1625684-jv/?source=searchResults&searchType=2&placement=1625685&sortBy=date
"SEI Electronic Components (Vietnam), Ltd.",Kỹ Sư Phòng Bảo Dưỡng Sửa Chữa (ME)(MỚI),https://www.vietnamworks.com/ky-su-phong-bao-duong-sua-chua-me-1-1-1644953-jv/?source=searchResults&searchType=2&placement=1644954&sortBy=date
Ngân Hàng TMCP Công Thương Việt Nam (VietinBank),Chuyên Viên Chính Lập Báo Cáo Tài Chính Theo Chuẩn Mực Việt Nam (VAS) và Chuẩn Mực Quốc Tế (IFRS Mã Số: Kttc – BCTC)(MỚI),https://www.vietnamworks.com/chuyen-vien-chinh-lap-bao-cao-tai-chinh-theo-chuan-muc-viet-nam-vas-va-chuan-muc-quoc-te-ifrs-ma-so-kttc-bctc-1-1645681-jv/?source=searchResults&searchType=2&placement=1645682&sortBy=date
